Tx_ma,RX_ma,SRC_ma,DST_ma,0,RSSI,TX_rate,Time_sniff
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1308,-49,65.0,2019-06-11 13:49:20.275920
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-52,39.0,2019-06-11 13:49:20.277272
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-52,39.0,2019-06-11 13:49:20.277714
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-52,39.0,2019-06-11 13:49:20.280782
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:20.281279
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1308,0,39.0,2019-06-11 13:49:20.281501
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:20.282116
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1308,0,39.0,2019-06-11 13:49:20.282355
b0:70:2d:ea:8d:1d,e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-40,65.0,2019-06-11 13:49:20.283004
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-49,39.0,2019-06-11 13:49:20.283219
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:20.297101
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-48,39.0,2019-06-11 13:49:20.297545
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:20.297856
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,65.0,2019-06-11 13:49:20.298502
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-52,39.0,2019-06-11 13:49:20.298969
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:20.299232
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:20.299395
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:20.300721
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:20.300862
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-48,39.0,2019-06-11 13:49:20.301286
